batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,35,0.7,6.35,0.0,1.0,16.4146,3,172.16.50.163,Child of 62 and 18 [Mutated],2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,190,46,2,[],317,484,../data/tables,1564545282,MNIST,1390000.0,30.53,0
128,36,0.7,6.35,0.0,1.0,14.8116,3,172.16.50.163,Child of 2 and 24,2,0,../data/logs,../data/models,0.05,1,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,477,103,4,[],60,103,../data/tables,1564545959,MNIST,1390000.0,30.53,0
128,37,0.7,6.35,0.0,1.0,14.8415,3,172.16.50.177,Child of 98 and 24 [Mutated],2,0,../data/logs,../data/models,0.05,1,3,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,477,71,0,[],235,252,../data/tables,1564546232,MNIST,1390000.0,30.53,0
128,38,0.7,6.35,0.0,1.0,18.4054,3,172.16.50.181,Child of 92 and 89,2,0,../data/logs,../data/models,0.05,2,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,15,94,2,[],341,441,../data/tables,1564546269,MNIST,1390000.0,30.53,0
128,39,0.7,6.35,0.0,1.0,14.8066,3,172.16.50.159,Descendant of 20 [Mutated],2,0,../data/logs,../data/models,0.05,1,4,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,352,22,5,[],109,26,../data/tables,1564546871,MNIST,1390000.0,30.53,0
128,40,0.7,6.35,0.0,1.0,14.7957,3,172.16.50.163,Child of 18 and 37,2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,190,46,3,[],286,328,../data/tables,1564546925,MNIST,1390000.0,30.53,0
128,41,0.7,6.35,0.0,1.0,16.0937,3,172.16.50.177,Child of 26 and 44,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,168,46,2,[],385,376,../data/tables,1564547067,MNIST,1390000.0,30.53,0
128,42,0.7,6.35,0.0,1.0,20.6706,3,172.16.50.177,Child of 15 and 32 [Mutated],2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,356,74,6,[],342,461,../data/tables,1564547561,MNIST,1390000.0,30.53,0
128,43,0.7,6.35,0.0,1.0,14.6632,3,172.16.50.163,Child of 29 and 22,2,0,../data/logs,../data/models,0.05,2,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,457,123,2,[],385,41,../data/tables,1564547636,MNIST,1390000.0,30.53,0
128,44,0.7,6.35,0.0,1.0,17.0818,3,172.16.50.181,Child of 39 and 82 [Mutated],2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,401,56,2,[],30,400,../data/tables,1564547867,MNIST,1390000.0,30.53,0
